"","FIPS_CODE","cum_case","NAME","GEO_PARENT_NAME","POP_DENSITY","Total_Pop","SEX BY AGE%Total population%Total%Male","SEX BY AGE%Total population%Total%Male%Under 5 years","SEX BY AGE%Total population%Total%Male%5 to 9 years","SEX BY AGE%Total population%Total%Male%10 to 14 years","SEX BY AGE%Total population%Total%Male%15 to 17 years","SEX BY AGE%Total population%Total%Male%18 and 19 years","SEX BY AGE%Total population%Total%Male%20 years","SEX BY AGE%Total population%Total%Male%21 years","SEX BY AGE%Total population%Total%Male%22 to 24 years","SEX BY AGE%Total population%Total%Male%25 to 29 years","SEX BY AGE%Total population%Total%Male%30 to 34 years","SEX BY AGE%Total population%Total%Male%35 to 39 years","SEX BY AGE%Total population%Total%Male%40 to 44 years","SEX BY AGE%Total population%Total%Male%45 to 49 years","SEX BY AGE%Total population%Total%Male%50 to 54 years","SEX BY AGE%Total population%Total%Male%55 to 59 years","SEX BY AGE%Total population%Total%Male%60 and 61 years","SEX BY AGE%Total population%Total%Male%62 to 64 years","SEX BY AGE%Total population%Total%Female","SEX BY AGE%Total population%Total%Female%Under 5 years","SEX BY AGE%Total population%Total%Female%5 to 9 years","SEX BY AGE%Total population%Total%Female%10 to 14 years","SEX BY AGE%Total population%Total%Female%15 to 17 years","SEX BY AGE%Total population%Total%Female%18 and 19 years","SEX BY AGE%Total population%Total%Female%20 years","SEX BY AGE%Total population%Total%Female%21 years","SEX BY AGE%Total population%Total%Female%22 to 24 years","SEX BY AGE%Total population%Total%Female%25 to 29 years","SEX BY AGE%Total population%Total%Female%30 to 34 years","SEX BY AGE%Total population%Total%Female%35 to 39 years","SEX BY AGE%Total population%Total%Female%40 to 44 years","SEX BY AGE%Total population%Total%Female%45 to 49 years","SEX BY AGE%Total population%Total%Female%50 to 54 years","SEX BY AGE%Total population%Total%Female%55 to 59 years","SEX BY AGE%Total population%Total%Female%60 and 61 years","SEX BY AGE%Total population%Total%Female%62 to 64 years","Median_Age","SEX BY AGE%Total population%Total%Female%65 and 66 years","SEX BY AGE%Total population%Total%Male%65 and 66 years","SEX BY AGE%Total population%Total%Female%67 to 69 years","SEX BY AGE%Total population%Total%Male%67 to 69 years","SEX BY AGE%Total population%Total%Female%70 to 74 years","SEX BY AGE%Total population%Total%Male%70 to 74 years","SEX BY AGE%Total population%Total%Female%75 to 79 years","SEX BY AGE%Total population%Total%Male%75 to 79 years","SEX BY AGE%Total population%Total%Female%80 to 84 years","SEX BY AGE%Total population%Total%Male%80 to 84 years","SEX BY AGE%Total population%Total%Female%85 years and over","SEX BY AGE%Total population%Total%Male%85 years and over","Total_White","Total_Black","Total_Hispanic","Total_Other","Total_Households_Below_Poverty","Total_Households_Above_Poverty"
"1","01001",6595,"Autauga","Alabama",35.9703319897379,55380,26934,1734,2153,1654,1229,676,335,326,1147,1754,1712,1954,1503,1878,1928,2190,558,609,28446,1483,1661,1946,1345,562,468,219,1075,1848,1742,1961,1888,2011,1919,2057,814,758,38.2,488,438,805,646,1385,1056,1010,670,502,399,499,385,42437,10565,1528,2198,3175,17940
"2","01003",20523,"Baldwin","Alabama",51.6876047264901,212830,103496,5948,5583,7713,4304,2239,1156,865,3524,6048,5802,6480,6089,6720,7034,7019,2432,4805,109334,5741,6475,6549,3922,2366,1232,964,3137,6126,5966,6753,6512,7316,7342,8062,3499,4576,43,2693,2443,4392,3906,6456,5849,4518,3623,2298,2305,2439,1609,179526,19764,9353,8817,8656,69966
"3","01005",2227,"Barbour","Alabama",11.0642356825314,25361,13421,696,725,770,470,257,303,135,503,1143,1090,887,950,967,863,851,277,507,11940,653,897,652,444,241,164,103,384,684,725,617,584,667,813,777,388,464,40.4,312,266,570,305,663,728,457,398,369,237,312,93,12216,12266,1106,1300,2383,6803
"4","01007",2543,"Bibb","Alabama",13.9520244235469,22493,12150,701,674,628,600,240,75,52,497,872,1213,772,888,907,982,791,261,401,10343,614,545,504,365,195,128,84,423,716,475,677,573,894,736,624,322,480,40.9,192,155,398,444,443,466,322,311,324,87,309,133,17268,5018,547,241,968,5872
"5","01009",6446,"Blount","Alabama",34.537372898938,57681,28495,1750,1734,2092,1251,727,179,412,1077,1746,1631,1603,2037,1963,1885,2046,709,1044,29186,1682,1856,1942,1082,562,434,184,926,1757,1705,1563,2060,1991,1860,1809,919,1137,40.7,952,535,819,993,1452,1360,1010,684,863,603,621,434,55054,862,5261,1729,2944,17656
"6","01011",1207,"Bullock","Alabama",6.35307924545013,10248,5571,260,383,216,232,302,27,128,180,373,445,379,303,554,319,334,186,247,4677,282,255,338,162,118,0,91,173,306,147,287,415,192,296,341,217,120,40.2,115,143,175,110,225,252,139,134,112,64,171,0,2276,7893,51,183,1215,2394
"7","01013",2103,"Butler","Alabama",9.85485837840629,19828,9081,458,701,628,418,222,138,153,276,568,545,574,597,400,517,670,193,427,10747,691,591,575,393,239,137,128,261,602,624,752,606,645,665,746,413,375,40.8,280,159,341,380,538,590,508,182,271,126,366,159,10414,9055,67,556,1537,5171
"8","01015",14227,"Calhoun","Alabama",73.0425348185539,114618,55141,3254,3456,3622,2468,1637,929,793,1991,3965,3424,3464,3088,3362,3740,3674,1660,2242,59477,3354,3163,3527,2108,1534,501,858,2315,4101,3639,3790,3352,3677,3815,4342,1723,2312,39.6,1452,1360,2164,1694,2744,2313,2160,1506,1424,861,1422,638,85558,23676,4203,5864,8611,36422
"9","01017",3489,"Chambers","Alabama",21.7852006694669,33660,16089,999,947,938,628,294,201,182,765,1119,948,959,826,1109,1125,1335,356,587,17571,1044,848,1088,573,321,274,210,559,1109,952,1113,938,1135,1182,1295,500,731,42,554,419,650,579,849,907,732,487,438,202,476,177,19483,13319,768,1024,2414,11102
"10","01019",1810,"Cherokee","Alabama",18.0682049857198,25903,12777,656,688,750,520,268,166,164,403,718,508,824,619,880,980,1036,325,572,13126,531,766,739,595,215,124,101,343,682,587,652,776,811,1017,983,474,619,46.5,437,326,525,630,862,731,560,635,371,221,356,157,23997,1267,398,589,1821,8785
"11","01021",4041,"Chilton","Alabama",24.5503275654831,44055,21459,1226,1628,1316,1093,474,420,165,715,1506,1306,1431,1526,1287,1370,1381,823,589,22596,1533,1597,1341,901,426,383,192,599,1510,1460,1373,1544,1535,1390,1567,662,734,38.7,469,471,680,610,1043,879,755,682,510,341,392,220,36599,4148,3416,3183,3205,13546
"12","01023",584,"Choctaw","Alabama",5.46310696218897,12925,6145,318,324,429,294,161,57,116,159,312,292,406,257,371,450,501,174,249,6780,361,304,370,203,186,110,33,171,349,323,267,489,425,493,516,116,417,46.3,115,143,262,287,541,312,343,378,162,77,224,78,7420,5590,73,65,1190,4160
"13","01025",3478,"Clarke","Alabama",7.52238326950179,24128,11403,682,680,788,496,277,39,188,517,688,562,633,686,723,790,826,286,495,12725,695,640,785,521,290,225,121,414,732,629,823,707,803,904,1000,360,444,42.5,254,272,626,443,482,506,519,448,321,236,430,142,12935,11173,48,279,2596,6762
"14","01027",1483,"Clay","Alabama",8.52612073715491,13337,6438,328,375,470,247,182,159,69,128,352,324,359,428,415,413,626,133,222,6899,352,302,500,204,223,68,40,231,413,414,434,323,394,524,489,121,377,43.3,178,111,275,192,375,408,305,270,190,108,167,119,11106,1977,415,295,1036,4200
"15","01029",1454,"Cleburne","Alabama",10.2821895355427,14916,7309,438,540,414,319,165,37,109,226,480,424,330,544,528,501,457,217,267,7607,411,576,420,265,127,55,34,299,431,422,427,428,609,494,534,155,334,43.1,199,223,356,298,321,299,199,351,151,51,360,91,14068,393,362,477,1158,4568
"16","01031",5387,"Coffee","Alabama",29.3773463035024,51662,25479,1674,1522,2016,1099,640,319,203,968,1728,1660,1699,1656,1737,1649,1746,619,788,26183,1533,1784,1618,1013,474,237,274,995,1631,1590,1769,1555,1715,1799,1867,733,802,39.3,693,557,692,742,1217,1075,1066,628,600,389,526,365,38923,8829,3549,3536,2971,16818
"17","01033",6175,"Colbert","Alabama",35.6767308456929,54771,26284,1701,1477,1711,1042,574,202,253,1120,1802,1545,1577,1565,1668,1825,1766,734,1176,28487,1438,1817,1374,993,499,331,231,1049,1793,1448,1762,1698,1916,1930,2016,786,1308,42.4,734,641,893,778,1697,1312,1261,837,716,575,797,403,43288,8615,1349,2592,3629,18170
"18","01035",1087,"Conecuh","Alabama",5.62849944965342,12394,6078,383,532,340,179,208,102,27,240,287,448,236,211,335,384,422,253,240,6316,317,264,308,281,197,45,8,130,440,165,508,361,382,436,377,194,408,44.8,159,197,253,154,404,541,351,174,92,107,236,78,6369,5971,105,174,981,3593
"19","01037",944,"Coosa","Alabama",6.38075439670503,10757,5462,171,250,367,196,162,59,12,154,343,240,236,359,377,434,555,226,188,5295,193,190,298,136,79,94,4,133,303,203,250,444,347,392,590,136,206,48.4,232,106,264,311,238,222,165,322,267,60,131,112,7133,3713,50,9,570,3533
"20","01039",4043,"Covington","Alabama",13.9371036130144,37200,17986,1105,1383,1032,692,368,273,222,543,1088,1005,1022,927,1134,1216,1270,399,957,19214,1060,1043,1109,739,344,182,134,647,1168,1102,1148,956,1144,1260,1348,490,964,43.3,586,407,616,713,1050,897,856,633,697,442,571,258,31624,4826,604,901,2740,12268
"21","01041",1503,"Crenshaw","Alabama",8.77895648416297,13844,6748,413,380,521,308,168,56,63,235,457,406,434,312,393,462,574,189,249,7096,375,472,394,243,112,64,72,278,430,377,405,426,433,510,420,149,455,41.7,87,184,274,205,485,356,241,201,179,128,215,54,9938,3198,275,729,900,4125
"22","01043",9390,"Cullman","Alabama",43.5387654415821,82853,40759,2478,2263,2990,1663,892,638,514,1184,2751,2539,2584,2547,2673,2816,2840,1240,1407,42094,2637,2394,2683,1597,833,603,388,1370,2708,2330,2254,2756,2653,2818,2833,1255,1606,40.8,936,1146,1351,1044,2473,2011,1411,1244,1428,866,777,429,78392,998,3543,2923,4859,25871
"23","01045",4763,"Dale","Alabama",33.9082638877439,49277,24301,1620,1827,1399,988,537,284,233,1290,1984,1670,1647,1227,1480,1415,1719,634,757,24976,1611,1486,1545,909,551,216,306,966,1708,1784,1559,1399,1542,1566,1862,741,734,37.3,577,563,797,702,1121,948,834,730,610,404,552,243,35889,9749,3070,3617,3292,15378
"24","01047",3516,"Dallas","Alabama",15.44388228009,39149,18039,1202,1477,1201,869,565,288,224,580,1074,1008,968,949,986,1143,1297,524,819,21110,1191,1421,1221,847,569,262,336,696,1297,1192,1427,1039,1205,1378,1709,584,792,39.6,650,501,816,646,764,701,786,386,466,475,462,156,11257,28210,412,562,4697,11639
"25","01049",8699,"DeKalb","Alabama",35.430433409745,71310,35318,2242,2342,2804,1660,888,604,479,1050,2226,2017,1773,2601,2466,2325,2112,1089,1382,35992,2018,2390,2530,1524,779,317,463,1230,2199,2042,2557,1985,2207,2363,2797,799,1167,39.5,883,721,1220,1330,1667,1350,1226,1129,819,529,810,199,60972,1004,10220,9224,5610,20522
"26","01051",9978,"Elmore","Alabama",50.6589944552699,81144,39226,2386,2567,2635,1643,1019,492,494,1564,2773,2691,2762,2417,2634,2685,2407,1215,1396,41918,2351,2362,2649,1636,871,473,714,1195,3139,2862,2662,3033,2905,2909,3214,909,1427,38.7,663,675,1380,1064,1859,1785,1117,943,897,572,691,407,60824,17402,2347,2986,3703,25440
"27","01053",3862,"Escambia","Alabama",15.1369515909643,37057,18856,1083,1203,1176,692,363,332,211,616,1419,1394,1380,1181,1280,1233,1257,536,669,18201,1020,980,1401,733,403,104,253,628,1144,1048,948,1187,1061,1087,1180,604,685,40,494,363,762,688,821,637,708,612,474,322,476,209,23095,11920,838,2313,3296,10132
"28","01055",13647,"Etowah","Alabama",74.139607252971,102748,49564,3051,3355,2844,2057,1153,744,669,1752,3236,2779,3223,2908,3414,3392,3539,1179,2012,53184,2865,2748,3281,1968,1124,558,449,2098,3180,3053,3294,3244,3581,3445,3617,1529,2150,41.4,1343,1319,2351,1777,2462,2139,1968,1491,1468,995,1408,536,82710,16212,3880,4017,6382,32395
"29","01057",2063,"Fayette","Alabama",10.145825243759,16494,8138,475,567,546,325,189,108,59,333,451,459,333,582,480,559,585,256,328,8356,401,335,541,290,192,99,115,213,499,512,459,507,533,504,605,269,347,43.7,293,251,270,275,528,385,340,275,251,192,253,125,14095,1978,285,512,1398,5549
"30","01059",4186,"Franklin","Alabama",19.1650666887433,31466,15676,1100,836,1404,675,301,288,197,671,1036,1249,632,1197,879,1052,919,352,543,15790,1119,1085,983,682,290,294,141,614,871,915,686,1138,1010,1039,796,409,759,38.6,461,241,623,480,580,659,538,500,334,274,423,191,26467,1388,5333,3687,1914,9296
"31","01061",2447,"Geneva","Alabama",17.7545812601299,26417,12835,725,899,790,539,284,121,203,390,716,700,664,862,776,1041,901,523,376,13582,715,817,831,502,319,149,181,292,704,807,856,639,807,1059,1086,403,465,43.2,278,293,654,545,593,597,590,378,492,273,343,239,22871,2529,1027,1091,2374,8105
"32","01063",904,"Greene","Alabama",4.96723303325447,8324,3846,353,183,310,39,6,38,22,258,366,210,248,78,184,201,266,63,272,4478,225,374,109,291,41,53,67,162,229,197,283,194,197,328,386,82,236,40.9,158,44,288,105,105,288,265,223,112,23,96,66,1445,6713,143,268,1150,1805
"33","01065",2165,"Hale","Alabama",8.87873526261098,14809,7035,529,558,396,328,365,103,11,285,309,440,359,310,367,450,529,194,283,7774,455,341,566,281,165,134,143,228,463,418,487,417,422,562,442,249,443,40.5,197,195,300,255,329,333,231,203,315,107,186,126,5898,8748,130,241,1586,4072
"34","01067",1869,"Henry","Alabama",11.7758516071747,17133,8319,455,396,692,355,281,104,90,231,429,415,598,417,519,528,674,128,356,8814,434,491,474,299,138,74,159,292,380,412,523,590,573,584,542,223,492,44.4,222,198,435,374,579,484,370,350,189,157,339,88,12179,4749,448,196,1042,5627
"35","01069",10342,"Houston","Alabama",69.7167646204344,104702,50190,3334,3187,3854,2207,1122,726,669,1574,3334,3212,2867,3233,3186,3366,3636,1247,1669,54512,3067,3263,3303,2138,1067,574,686,1732,3632,3467,3186,3664,3458,3600,3961,1451,1978,40.1,1390,1112,1716,1590,2638,2110,1893,1376,1382,918,1266,661,72387,28078,3437,3887,6755,32498
"36","01071",6733,"Jackson","Alabama",18.5718059715822,51852,25381,1529,1673,1521,1000,529,446,194,747,1561,1481,1415,1592,1792,1716,2007,720,1006,26471,1227,1480,1525,1027,506,199,406,844,1468,1414,1578,1677,1683,1868,1968,793,1147,43.1,908,651,1157,1064,1191,1048,1130,808,674,553,601,328,47412,1799,1505,2883,4089,16537
"37","01073",74789,"Jefferson","Alabama",229.170769568492,659680,312033,21618,21375,21316,12520,8084,4307,3874,12654,23805,21911,20862,18767,19234,19504,20455,8085,11557,347647,20902,20596,20493,12357,8256,4774,3750,13061,25610,24209,22746,21162,21058,21970,23279,9998,13746,37.7,8470,7774,10208,8939,14202,9968,10338,6494,7776,4863,8686,4067,342591,281702,25048,35599,43269,217655
"38","01075",1390,"Lamar","Alabama",8.86345634337644,13885,6783,396,435,472,291,166,30,115,234,345,333,263,450,480,464,480,203,333,7102,326,366,511,253,155,95,50,153,353,425,308,478,430,505,512,189,303,44.8,106,203,461,184,287,377,357,237,255,122,224,170,12187,1558,218,188,1268,4706
"39","01077",9144,"Lauderdale","Alabama",53.4960609262497,92556,44568,2523,2701,2641,1645,1348,914,593,2243,3036,2654,2581,2343,2720,2869,2852,1009,2011,47988,2262,2312,2568,1657,1470,1037,613,2423,2817,2588,2679,2554,2848,3171,3339,1494,1813,41,1414,1080,1778,1483,2485,2218,1821,1251,1509,1010,1336,843,80561,9364,2412,2660,6298,32216
"40","01079",2928,"Lawrence","Alabama",18.4798818476696,33058,15955,829,1073,1046,592,424,38,468,290,1005,986,1065,835,1060,1305,1206,566,540,17103,950,860,1227,606,332,219,216,574,1019,964,931,965,1147,1315,1183,718,506,42.4,541,284,602,662,859,717,623,453,414,301,332,210,25942,3627,707,3602,2169,10642
"41","01081",15433,"Lee","Alabama",102.415308249589,161152,79453,4881,4886,4980,2973,3718,3340,2510,5633,6404,5116,5181,4192,4696,4440,4540,1269,2275,81699,4646,4563,4766,2693,3981,3020,2125,5382,6089,5446,5018,5074,4906,4790,4628,1397,2898,31.9,1602,1323,2044,1959,2548,2194,1916,1337,1042,927,1125,679,111986,36675,5865,10626,13131,46242
"42","01083",9753,"Limestone","Alabama",65.3164479127968,94727,47291,2593,3186,2965,2060,1071,487,503,1642,3313,3254,3422,3303,3444,3562,3409,1149,1514,47436,2624,2484,3612,2059,1013,487,633,1366,2887,3114,2956,3180,3420,3505,3211,1300,1671,39.7,1111,901,1186,1171,2326,2048,1156,1064,1093,787,1042,443,75143,12468,5479,5441,4361,27765
"43","01085",1363,"Lowndes","Alabama",5.43576341007107,10079,4821,363,261,304,270,87,78,11,181,331,320,236,259,282,346,306,147,249,5258,250,326,349,148,54,34,105,196,374,289,260,300,337,381,446,184,159,42,169,160,188,108,225,207,179,171,161,93,144,51,2546,7601,70,89,1229,2951
"44","01087",1537,"Macon","Alabama",11.8641165518025,18708,8593,422,546,386,323,492,276,242,505,565,412,363,416,444,510,561,228,389,10115,412,435,457,267,709,326,520,357,580,492,484,400,536,643,729,307,360,38.6,382,313,310,294,528,357,317,352,258,97,306,100,3025,15740,328,289,2040,5597
"45","01089",33577,"Madison","Alabama",174.497332901788,362276,176935,10826,11099,11496,7139,5113,2452,2987,7106,13098,12265,11573,9752,11295,13144,13499,4981,5866,185341,10424,10710,11068,6925,5009,2449,2623,7090,12836,12237,11361,11244,12209,13921,14234,4574,6520,38.5,3996,3399,5175,4264,7447,6450,5377,3951,4313,2947,3599,2233,243835,86012,17294,27713,18835,126421
"46","01091",2502,"Marengo","Alabama",7.63633561391404,19321,9299,566,895,531,402,280,86,186,341,510,478,497,516,535,610,653,253,345,10022,403,536,691,379,340,70,81,442,475,571,547,603,658,670,582,330,530,42.2,316,206,341,311,450,455,335,344,328,212,344,87,8855,10518,115,165,2127,5641
"47","01093",3063,"Marion","Alabama",15.5337091782213,29866,14781,774,881,1026,633,348,283,139,448,901,727,812,820,1025,1179,1061,279,707,15085,778,742,892,548,340,91,191,480,864,786,839,889,973,1040,1181,412,489,44.3,211,289,715,596,929,740,721,635,479,305,495,173,27886,1097,752,982,2244,9968
"48","01095",11865,"Marshall","Alabama",65.2616312307363,95643,47230,3347,3152,3743,2078,1207,261,755,1909,3121,2866,2555,3067,3083,3144,3087,1166,1708,48413,3268,3056,3299,1944,1013,514,529,1613,2976,2739,3102,2787,3020,3146,3089,1425,1781,38.8,1099,1061,1661,1436,2368,1801,1680,1464,1303,676,1001,543,87887,2456,12961,4802,6513,28383
"49","01097",37515,"Mobile","Alabama",130.054461644472,414114,197367,13566,12819,14533,8549,4986,3041,2958,7614,14725,12726,11075,12502,11730,12694,12787,5170,7826,216747,13636,13291,13225,8192,5045,2546,2933,8342,15759,14527,13165,12607,13170,14021,14576,6294,8145,37.9,4758,4931,7162,5790,9347,7324,6447,4950,4601,3162,4958,1909,243658,147434,11973,23567,28483,127348
"50","01099",1706,"Monroe","Alabama",8.00686727963609,21270,10160,652,753,689,464,218,101,185,412,575,463,443,636,609,688,896,231,361,11110,483,611,653,443,405,58,60,365,666,573,686,634,757,759,843,326,472,43.3,225,191,427,447,580,455,378,342,282,169,424,180,11814,8927,302,771,2699,5450
"51","01101",23779,"Montgomery","Alabama",111.572771010881,226941,107049,7757,7381,7424,4436,3373,1571,1460,4985,8431,7383,6276,7026,6403,6567,6513,2457,3769,119892,7589,7650,6896,4307,2956,1707,1676,5203,8971,8124,7250,7766,7312,7484,8238,2992,4501,36.4,2824,2288,3270,2961,4673,3363,3647,2653,2354,1516,2502,1056,82862,130866,7749,13213,16696,73139
"52","01103",14138,"Morgan","Alabama",79.4140874948901,119213,58712,3705,4310,3554,2495,1353,603,987,1900,3807,3640,3811,3628,3959,4207,4177,1334,2396,60501,3476,3838,3554,2435,1189,530,896,1910,3749,3411,3471,3888,4011,4356,4092,1610,2519,40.6,1282,1354,2188,1767,2990,2298,2022,1607,1634,1055,1450,765,95966,15228,9691,7928,7102,38544
"53","01105",1080,"Perry","Alabama",4.98578083793664,9293,4263,174,121,396,253,499,86,68,152,160,150,491,134,188,135,182,137,221,5030,310,60,551,142,276,94,52,176,302,192,524,257,114,253,429,74,168,36.9,157,138,185,70,324,297,149,106,147,77,94,28,2838,6588,89,60,1147,1932
"54","01107",2326,"Pickens","Alabama",8.8681079865063,20243,9637,577,540,618,389,189,133,95,499,608,489,760,438,598,651,680,403,293,10606,480,511,553,363,230,141,94,336,736,683,760,602,745,843,783,331,353,42.2,320,293,414,328,389,381,340,307,266,175,333,193,11362,8367,932,569,1691,5839
"55","01109",3044,"Pike","Alabama",19.1497701958637,33333,15980,956,1056,834,506,753,716,467,1579,1314,764,876,641,758,819,891,414,423,17353,870,930,803,515,1128,783,955,1184,1043,812,907,842,910,979,996,428,535,31.2,294,322,402,428,810,590,550,481,336,234,341,158,18960,12697,263,1746,2997,8550
"56","01111",1753,"Randolph","Alabama",15.0616919139505,22647,11057,683,721,669,518,256,121,182,384,621,558,584,615,759,702,648,369,590,11590,634,653,663,355,367,187,195,283,596,607,574,691,743,806,586,549,556,43.4,324,316,396,362,640,679,515,454,398,177,272,89,17443,4547,665,584,1524,7119
"57","01113",4231,"Russell","Alabama",34.8977475522475,57952,27861,2072,2201,1756,1095,706,194,597,934,2268,1985,1893,1716,1621,1982,1855,733,936,30091,2086,2160,1701,1098,430,232,554,1216,2344,2048,1803,2006,1876,2008,1904,733,1180,36.3,610,508,784,639,1319,992,836,590,743,286,420,302,29256,24957,3120,4000,4368,18372
"58","01115",9360,"St. Clair","Alabama",53.7900168054296,87989,44013,2560,3108,2966,1861,821,443,533,1596,2935,2864,2798,2967,3238,3000,3135,926,1772,43976,2611,2428,2945,1562,893,456,454,1328,2675,2916,2802,2898,3077,3068,3502,885,1649,40.3,1291,1041,1654,1165,1694,1906,1340,1179,1177,704,671,495,76224,8252,2089,2830,4313,27859
"59","01117",23077,"Shelby","Alabama",104.925194231402,213432,103346,6165,6811,7914,4744,2582,1263,1514,3182,6305,6439,6979,7618,7464,7179,6558,2946,3558,110086,6276,7076,7092,4547,2605,1365,1334,3535,6499,7057,7281,7838,8067,7500,7445,3002,3976,39.3,2355,1938,3832,3122,4399,4050,2973,2422,2306,1578,1726,1015,169598,25455,12125,16208,6581,71747
"60","01119",1026,"Sumter","Alabama",5.46670337535698,12797,5927,378,383,270,290,516,183,134,396,281,226,308,211,331,289,415,201,213,6870,337,369,297,146,312,210,246,242,739,290,323,286,410,358,565,163,245,35.6,133,164,186,121,343,279,200,147,280,137,190,54,3201,9346,13,438,1928,3119
"61","01121",7999,"Talladega","Alabama",42.1250816743011,80387,38826,2233,2388,2423,1645,900,680,456,1419,2579,2240,2226,2574,2696,2659,2646,1223,1555,41561,2033,2555,2406,1574,1000,644,538,1500,2648,2397,2425,2643,2737,2781,2835,1185,1892,41.3,958,824,1576,1536,1974,1598,1354,1065,1153,713,753,548,51720,26010,1818,2835,6160,25247
"62","01123",3848,"Tallapoosa","Alabama",21.8457671263393,40541,19573,1197,1373,954,755,585,240,198,907,969,977,824,1160,1180,1362,1441,767,809,20968,1060,1325,1080,725,262,272,274,667,1260,1108,1119,1104,1355,1466,1578,630,1053,44.7,423,381,994,790,1287,1236,744,798,719,363,463,307,28251,11145,954,1240,3115,13333
"63","01125",25082,"Tuscaloosa","Alabama",60.5976012400453,207305,100006,6371,6154,6046,3683,4747,2527,3077,6378,8640,6587,6256,5572,5677,5525,5476,2132,3651,107299,6031,6140,5631,3562,7665,3007,2482,4748,8630,6720,6692,6086,6123,6010,6180,2715,3711,33,2179,1856,2821,2387,3700,3267,2750,2135,1829,1010,1887,852,132877,65260,7437,8076,11989,60390
"64","01127",7067,"Walker","Alabama",31.293227736768,64110,31453,2049,2211,1803,1380,691,379,474,1072,2029,1817,2012,1545,2081,2224,2148,944,1230,32657,1874,1758,2032,1149,725,389,179,1163,1945,1781,1878,2002,2046,2174,2513,985,1237,42.1,673,574,1309,993,1917,1734,1276,883,661,768,991,412,58547,4007,1545,1939,4787,20249
"65","01129",1639,"Washington","Alabama",5.91231363261335,16541,8159,392,423,609,454,296,208,86,155,457,464,276,497,601,627,467,292,468,8382,409,422,548,531,132,96,74,360,345,404,471,437,535,765,568,182,443,43.7,295,228,262,225,386,485,300,191,298,213,119,45,11003,4086,182,1554,1254,4753
"66","01131",1249,"Wilcox","Alabama",4.64174336145141,10681,5014,296,177,509,251,206,66,113,184,266,218,284,362,224,267,349,155,199,5667,375,302,412,255,146,25,89,161,362,288,286,357,345,362,306,94,364,40.5,133,90,257,154,229,329,155,146,191,115,173,54,2903,7511,70,395,1132,2672
"67","01133",2717,"Winston","Alabama",14.9809709073394,23784,11781,712,606,767,438,230,215,167,238,634,673,602,719,815,874,991,403,391,12003,603,492,845,463,241,204,135,272,669,600,807,510,747,850,977,316,503,45.2,273,276,475,480,789,691,571,434,346,264,315,161,23001,90,734,784,1606,7797
"68","02013",57,"Aleutians East","Alaska",0.187104420793457,3385,2033,59,81,86,41,38,41,10,103,213,144,170,159,223,232,165,33,82,1352,50,43,73,51,11,3,6,73,53,97,107,82,134,195,141,41,27,42.5,49,16,27,39,32,45,21,20,19,15,17,18,605,144,346,2676,123,737
"69","02016",192,"Aleutians West","Alaska",0.500633971477405,5698,3380,93,185,160,55,124,46,41,161,312,323,239,311,307,409,268,91,91,2318,96,193,139,61,29,42,49,97,187,182,177,140,161,205,207,67,103,38.6,49,55,36,37,38,42,25,28,23,2,12,0,1699,246,798,3805,72,1104
"70","02020",27810,"Anchorage","Alaska",66.4008447497865,293531,149670,10762,10628,9556,6004,3595,2344,2513,8174,13941,12618,10448,8685,9003,9158,9481,3743,4507,143861,10435,10152,8901,5438,3056,1775,1801,6527,12832,11854,10291,8586,8776,9213,9773,3564,4524,33.6,2378,2726,3396,3372,4640,4056,2314,2085,1843,1385,1792,886,186522,16439,26847,93151,8054,98470
"71","02050",3770,"Bethel","Alaska",0.172322662467415,18134,9477,941,883,928,555,307,104,133,456,786,702,580,430,488,560,440,177,368,8657,894,881,864,448,275,140,148,376,747,617,507,454,408,410,423,160,243,27.3,102,133,95,170,215,169,84,124,76,29,90,14,1986,119,429,15935,1137,3421
"72","02060",505,"Bristol Bay","Alaska",0.700939817864786,875,524,29,20,23,17,9,2,10,26,30,22,45,38,39,67,41,17,35,351,19,26,22,24,7,0,3,3,16,23,22,20,24,16,66,13,14,42.9,4,7,7,14,7,14,6,7,6,6,3,6,501,4,32,385,14,319
"73","02068",84,"Denali","Alaska",0.0686229460477743,2246,1201,38,23,72,18,32,63,37,87,61,61,69,74,104,98,74,79,79,1045,26,18,28,38,33,19,30,57,70,95,131,38,66,74,103,21,121,42.1,16,42,22,42,10,13,23,31,6,4,0,0,1810,18,9,404,53,586
"74","02070",184,"Dillingham","Alaska",0.1044888924217,4961,2542,199,218,205,122,79,54,20,118,204,191,189,103,108,152,169,53,68,2419,270,194,220,116,65,35,31,120,192,146,207,84,114,130,121,44,121,30.2,42,46,32,44,51,118,46,48,13,20,25,14,875,67,173,4033,253,1167
"75","02090",6493,"Fairbanks North Star","Alaska",5.21883559335232,99072,53417,4056,3212,3354,1594,1615,1570,1201,4014,5750,4442,3546,2978,2719,2834,2679,1220,1690,45655,3752,3676,2600,1699,1082,421,926,2454,4415,3789,3207,2452,2511,2576,2806,1206,1327,31.3,697,976,1456,1456,1021,1205,730,595,577,435,275,276,75281,4493,7951,19879,2752,33761
"76","02100",19,"Haines","Alaska",0.414670069940892,2518,1297,79,137,65,2,5,0,3,2,42,116,45,132,51,67,80,79,27,1221,106,60,134,59,4,0,0,12,81,21,136,30,78,93,117,11,11,44.7,62,145,32,89,81,121,21,4,61,2,11,4,2040,1,97,477,63,963
